permit_number,permit_type,sub_type,status,parcel_number,issued_date,address,description,owner_name,contractor_name,valuation,fee,paid_fee
B25-00070,"Building Permit OTC","Over The Counter",Issued,4187-008-036,02/19/2025,"934 MANHATTAN AVE","Interior remodel (FRONT UNIT) Electrical panel upgrade, kitchen","Rizi Ranch, LLC","MODERNIZATION CONSTRUCTION","$25,000.00",$686.31,$686.31
B25-00071,"Building Permit OTC","Over The Counter",Issued,4187-008-036,02/19/2025,"934 MANHATTAN AVE","Interior remodel (REAR UPPER UNIT): Kitchen remodel, bathroom","Rizi Ranch, LLC","MODERNIZATION CONSTRUCTION","$25,000.00",$686.31,$686.31
B25-00072,"Building Permit OTC","Over The Counter",Issued,4186-013-014,02/20/2025,"942 7TH ST","Tear off and re-roof flat roof with torch down. 2-story house new",,,,,$686.21
B25-00077,"Building Permit OTC","Over The Counter",Issued,4187-007-003,02/24/2025,"928 PALM DR","Basement - Legalize bathroom - adding toilet, shower, and vanity","MEAGLIA,RICHARD CO TR",OWNER/BUILDER,"$4,000.00",$848.41,$848.41
B25-00078,"Building Permit OTC","Over The Counter",Issued,4187-007-003,02/24/2025,"928 PALM DR","Replace windows kitchen, basement and 2 in family room. Total of",,,,,$125.99
B25-00081,"Building Permit OTC","Over The Counter",Issued,4185-009-014,02/25/2025,"1,502 BONNIE BRAE ST","Kitchen remodel with new cabinets, countertops, backsplash and",,,,,$565.82
B25-00092,"Building Permit OTC","Over The Counter",Issued,4186-019-062,02/27/2025,"412 OCEAN VIEW AVE","Replace existing exterior door with new same size exterior door.",,,"$4,200.00",$204.25,$204.25
B25-00093,"Building Permit OTC","Over The Counter",Issued,4186-029-003,02/27/2025,"23 BARNEY CT",Re-Roof,,,"$15,000.00",$445.33,$445.33
E24-00043,"Electrical OTC","Over The Counter",Issued,4188-029-052,02/13/2025,"707 3RD ST","Temporary Power Pole",,,,,$141.00
E24-00052,"Electrical OTC","Over The Counter",Issued,4186-024-042,02/10/2025,"1,104 3RD ST","New (3) Story SFR w/ Basement and attached (2) Car Garage.",,,,"$2,986.00","$2,986.00"
E24-00181,"Electrical OTC","Over The Counter",Issued,4183-007-008,02/10/2025,"52 18TH ST","Temporary Power Pole",,,,,$141.00
E25-00010,"Electrical OTC","Over The Counter",Issued,4181-036-015,02/11/2025,"2,840 THE STRAND","Temporary Power Pole",,,,,$145.00
E25-00013,"Electrical OTC","Over The Counter",Issued,4182-014-007,02/13/2025,"2,451 SILVERSTRAND AVE","New 2-Story Residence over Basement with attached 2-car",,,,"$1,822.00","$1,822.00"
E25-00016,"Electrical OTC","Over The Counter",Issued,4182-026-001,02/25/2025,"2,491 VALLEY DR","Temporary Power Pole",,,,,$145.00
E25-00024,"Electrical OTC","Over The Counter",Finaled,4160-023-007,02/03/2025,"1,261 5TH ST","Install 200 amp electric panel (Upgrade) same location",,,,,$162.00
E25-00025,"Electrical OTC","Over The Counter",Issued,4183-015-020,02/18/2025,"1,737 MONTEREY BLVD","1737 Monterey Blvd. Interior remodel to include removal of",,,,"$1,546.00","$1,546.00"
E25-00026,"Electrical OTC","Over The Counter",Issued,4183-016-003,02/04/2025,"1,640 LOMA DR","Replace 4- Garage doors, replace damaged fascia boards,",,,,$178.00,$178.00
E25-00027,"Electrical OTC","Over The Counter",Issued,4186-007-020,02/04/2025,"831 PROSPECT AVE","Install back up battery on the exterior of the home (1) tesla",,,,$178.00,$178.00
E25-00028,"Electrical OTC","Over The Counter",Issued,4187-021-020,02/05/2025,"701 MANHATTAN AVE","Re-pipe water supply for both lower and upper units on Palm.",,,,$392.00,$392.00
E25-00029,"Electrical OTC","Over The Counter",Issued,4169-034-023,02/05/2025,"3,001 PACIFIC COAST HWY","Installation of a commercial ballasted rooftop PV array on a new",,,,$0.00,$0.00
E25-00030,"Electrical OTC","Over The Counter",Issued,4181-006-012,02/05/2025,"426 28TH ST","Kitchen remodel, demo wall, replace windows and doors.",,,,$251.00,$251.00
E25-00031,"Electrical OTC","Over The Counter",Issued,4187-022-038,02/12/2025,"728 MANHATTAN AVE","Bathroom remodel, fixtures to be replaced in the same location.",,,,,$208.00
